LSOA_Code,RUC21CD,RUC21NM,Urban_rural_flag
E01000299,UN1,Urban: Nearer to a major town or city,Urban
E01000300,UN1,Urban: Nearer to a major town or city,Urban
E01000301,UN1,Urban: Nearer to a major town or city,Urban
E01000302,UN1,Urban: Nearer to a major town or city,Urban
E01000303,UN1,Urban: Nearer to a major town or city,Urban
E01000304,UN1,Urban: Nearer to a major town or city,Urban
E01000305,UN1,Urban: Nearer to a major town or city,Urban
E01000306,UN1,Urban: Nearer to a major town or city,Urban
E01000307,UN1,Urban: Nearer to a major town or city,Urban
E01000308,UN1,Urban: Nearer to a major town or city,Urban
E01000309,UN1,Urban: Nearer to a major town or city,Urban
E01000310,UN1,Urban: Nearer to a major town or city,Urban
E01000311,UN1,Urban: Nearer to a major town or city,Urban
E01000312,UN1,Urban: Nearer to a major town or city,Urban
E01000313,UN1,Urban: Nearer to a major town or city,Urban
E01000416,UN1,Urban: Nearer to a major town or city,Urban
E01000417,UN1,Urban: Nearer to a major town or city,Urban
E01000418,UN1,Urban: Nearer to a major town or city,Urban
E01000419,UN1,Urban: Nearer to a major town or city,Urban
E01000731,UN1,Urban: Nearer to a major town or city,Urban
E01000420,UN1,Urban: Nearer to a major town or city,Urban
E01000421,UN1,Urban: Nearer to a major town or city,Urban
E01000422,UN1,Urban: Nearer to a major town or city,Urban
E01000423,UN1,Urban: Nearer to a major town or city,Urban
E01000424,UN1,Urban: Nearer to a major town or city,Urban
E01000425,UN1,Urban: Nearer to a major town or city,Urban
E01000426,UN1,Urban: Nearer to a major town or city,Urban
E01000427,UN1,Urban: Nearer to a major town or city,Urban
E01000428,UN1,Urban: Nearer to a major town or city,Urban
E01000429,UN1,Urban: Nearer to a major town or city,Urban
E01000430,UN1,Urban: Nearer to a major town or city,Urban
E01000431,UN1,Urban: Nearer to a major town or city,Urban
E01000433,UN1,Urban: Nearer to a major town or city,Urban
E01000434,UN1,Urban: Nearer to a major town or city,Urban
E01000435,UN1,Urban: Nearer to a major town or city,Urban
E01000436,UN1,Urban: Nearer to a major town or city,Urban
